и	ˈi
полна	pʌɭnˈɑ
малыйбог	mʌɭyjbˈok
помощники	pʌmˈoʃnʲikʲɪ
носят	nˈosʲʌt
клык	kɭˈyk
соб	sˈop
начертать	nʌtʃʲirtˈɑtʲ
обезврежена	ʌbʲizvrʲˈeʒyna
яз	ˈjas
нав	nˈɑf
уступ	ustˈup
смесь	smʲˈesʲ
заживление	zʌʒyvɭʲˈenʲijɪ
входом	fxˈodʌm
пл	pˌɛˈɛɭ
манавосст	mʌnavˈosst
родословная	rʌdʌsɭˈovnʌja
старт	stˈɑrt
преф	prʲˈef
дем	dʲˈem
триггер	trʲˈiɡɡʲir
грстраниц	ɡrstranʲˈits
полностью	pˈoɭnʌstʲjju
жестам	ʒˈɛstʌm
кнопок	knˈopʌk
свайпы	svˈɑjpy
озвучки	ʌzvˈutʃʲkʲɪ
фона	fˈona
случаи	sɭˈutʃʲʌɪ
локации	ɭʌkˈɑtsyɪ
бочка	bˈotʃʲka
устройстве	ustrˈojstvʲi
глуше	ɡɭˈuʃy
изменения	ɪzmʲinʲˈenʲija
числе	tʃʲisɭʲˈe
разделах	raʑdʲˈeɭʌx
ощупыванием	ʌɕupyvˈɑnʲijim
даётся	daˈɵtsʌ
категории	kʌtʲiɡˈorʲiɪ
минуты	mʲinˈuty
выбранной	vˈybrʌnnʌj
щиты	ɕitˈy
слота	sɭˈota
союзы	sʌˈjuzy
рынки	rˈynkʲɪ
армии	ˈɑrmʲiɪ
синдикаты	sʲindʲikˈɑty
эсхатическая	ɛsxatʲˈitʃʲiskʌja
ваших	vˈɑʃyx
толпы	tˈoɭpy
запоминается	zʌpʌmʲinˈɑjitsʌ
плохо	pɭˈoxʌ
точности	tˈotʃʲnʌsʲtʲɪ
названный	nˈɑzvʌnnyj
мс	ˌɛmˈɛs
меру	mʲˈeru
больнее	bʌɭʲnʲˈejɪ
более	bˈoɭʲijɪ
третье	trʲˈetʲjjɪ
настоящими	nʌstʌˈjaɕimʲɪ
ставятся	stˈɑvʲʌtsʌ
показаны	pʌkˈɑzʌny
другая	druɡˈɑja
такте	tˈɑktʲi
звучал	zvutʃʲˈɑɭ
выключить	vˈykɭʲutʃʲitʲ
боевые	bʌjivˈyjɪ
стон	stˈon
хватало	xvatˈɑɭʌ
гарпии	ɡˈɑrpʲiɪ
каменной	kˈɑmʲinnʌj
решётка	rʲiʃˈotka
кружки	krˈuʃkʲɪ
смех	smʲˈex
разряд	razrʲˈɑt
монстры	mˈonstry
молодой	mʌɭʌdˈoj
банши	bˈɑnʃy
призрак	prʲˈizrʌk
фермер	fʲˈermʲir
каталога	kʌtaɭˈoɡa
конь	kˈonʲ
уровни	ˈurʌvnʲɪ
начинает	nʌtʃʲinˈɑjit
арфа	ˈɑrfa
двоих	dvʌˈix
снов	snˈof
ветров	vʲitrˈof
эпический	ɛpʲˈitʃʲiskʲij
закрыта	zakrˈyta
линия	ɭʲˈinʲija
флейта	fɭʲˈejta
памятью	pˈɑmʲʌtʲjju
замка	zˈɑmka
медленный	mʲˈedɭʲinnyj
маяка	mʌjakˈɑ
ноте	nˈotʲi
лекари	ɭʲˈekʌrʲɪ
причалы	prʲitʃʲˈɑɭy
взрыв	vzrˈyf
гибель	ɡʲˈibʲilʲ
подворье	pʌdvˈorɪjjɪ
синтезированных	sʲintʲiʑˈirʌvʌnnyx
существ	suɕˈestf
участники	utʃʲˈɑsnʲikʲɪ
попадать	pʌpadˈɑtʲ
элемент	ɛɭʲimʲˈent
включена	fkɭʲutʃʲinˈɑ
двигают	dvʲˈiɡʌjut
встречает	fstrʲitʃʲˈɑjit
случайно	sɭutʃʲˈɑjnʌ
значило	znˈɑtʃʲiɭʌ
объявлен	ʌbjˈjavɭʲin
портальной	pʌrtˈɑɭʲnʌj
заданий	zadˈɑnʲij
творит	tvʌrʲˈit
вовремя	vˈovrʲimʲʌ
оказалось	ʌkazˈɑɭʌsʲ
попал	pʌpˈɑɭ
пустого	pustˈovʌ
означает	ʌznatʃʲˈɑjit
спорит	spˈorʲit
поднимают	pʌdnʲimˈɑjut
быстрое	bˈystrʌjɪ
ремеслом	rʲimʲisɭˈom
занимается	zʌnʲimˈɑjitsʌ
выросли	vˈyrʌsɭʲɪ
уходить	uxʌdʲˈitʲ
верёвки	vʲirʲˈɵfkʲɪ
округу	ʌkrˈuɡu
скакуна	skʌkunˈɑ
сварить	svarʲˈitʲ
четырнадцати	tʃʲitˈyrnʌttsʌtʲɪ
самопроверка	sʌmʌprʌvʲˈerka
название	nazvˈɑnʲijɪ
вложенные	vɭˈoʒynnyjɪ
ловкость	ɭˈofkʌstʲ
взгляд	vzɡɭʲˈɑt
постройку	pʌstrˈojku
скрипит	skrʲipʲˈit
попытка	pʌpˈytka
стережёт	sʲtʲirʲiʒˈot
священный	svʲaɕˈennyj
готовые	ɡʌtˈovyjɪ
торговцу	tʌrɡˈoftsu
коснитесь	kʌsʲnʲˈitʲisʲ
мортана	mʌrtˈɑna
посвящён	pʌsvʲaɕˈɵn
теряется	tʲirʲˈɑjitsʌ
линии	ɭʲˈinʲiɪ
кем-то	kʲˈemtˈo
слышат	sɭˈyʃʌt
тихих	tʲˈixix
слобода	sɭʌbʌdˈɑ
стучит	stutʃʲˈit
вал	vˈɑɭ
льда	ɭʲdˈɑ
строем	strˈojim
кузне	kˈuʑnʲi
запомнить	zapˈomnʲitʲ
следопыт	sɭʲidʌpˈyt
обстановки	ʌpstanˈofkʲɪ
комод	kʌmˈot
содержимое	sʌdʲirʒˈymʌjɪ
названы	nˈɑzvʌny
шестьдесят	ʃystʲdʲisʲˈɑt
водопад	vʌdʌpˈɑt
девяносто	dʲivʲanˈostʌ
ног	nˈok
способом	spˈosʌbʌm
крылатая	kryɭˈɑtʌja
соседней	sʌsʲˈednʲij
хребет	xrʲibʲˈet
устаёт	ustaˈɵt
снос	snˈos
пике	pʲˈikʲi
гнездовье	ɡnʲizdˈovjjɪ
народу	narˈodu
говорится	ɡʌvʌrʲˈitsʌ
ткацкая	tkˈɑtskʌja
оружейная	ʌruʒˈɛjnʌja
дружба	drˈuʒba
гильдий	ɡʲˈiɭʲdʲij
орды	ˈordy
одних	ʌdnʲˈix
обычно	ʌbˈytʃʲnʌ
железный	ʒyɭʲˈeznyj
пепельная	pʲˈepʲiɭʲnʌja
пепельное	pʲˈepʲiɭʲnʌjɪ
гнилая	ɡnʲiɭˈɑja
сне	sʲnʲˈe
месть	mʲˈestʲ
шва	ʃvˈɑ
тёмного	tʲˈɵmnʌvʌ
сорокового	sʌrʌkʌvˈovʌ
издалека	ɪzdʌɭʲikˈɑ
наказание	nʌkazˈɑnʲijɪ
тайной	tˈɑjnʌj
башнях	bˈɑʃnʲʌx
трактат	traktˈɑt
дневник	dnʲivnʲˈik
скрижаль	skrʲiʒˈɑlʲ
пятидесятом	pʲʌtʲidʲisʲˈɑtʌm
знакомство	znakˈomstvʌ
братство	brˈɑtstvʌ
мор	mˈor
обломок	ʌbɭˈomʌk
восстановление	vʌsstʌnʌvɭʲˈenʲijɪ
гнезда	ɡnʲˈezda
обод	ˈobʌt
кузни	kˈuʑnʲɪ
владеет	vɭadʲˈejit
пустые	pustˈyjɪ
закона	zakˈona
весит	vʲˈesʲit
частям	tʃʲasʲtʲˈɑm
аспект	aspʲˈekt
гримуара	ɡrʲimˈuʌra
чару	tʃʲˈɑru
бумаги	bumˈɑɡʲɪ
решений	rʲiʃˈɛnʲij
требований	trʲˈebʌvʌnʲij
повесть	pˈovʲistʲ
перезарядка	pʲirʲizarʲˈɑtka
несёт	nʲisʲˈɵt
усиления	usʲiɭʲˈenʲija
выбрали	vˈybrʌɭʲɪ
переделы	pʲirʲidʲˈeɭy
кончаются	kʌntʃʲˈɑjutsʌ
клеёный	kɭʲiˈɵnyj
малого	mˈɑɭʌvʌ
гримуаре	ɡrʲimˈuʌrʲi
производных	prʌizvˈodnyx
харизма	xarʲˈizma
мысль	mˈyslʲ
лад	ɭˈɑt
всякое	fsʲˈɑkʌjɪ
рунные	rˈunnyjɪ
стебель	sʲtʲˈebʲilʲ
носить	nʌsʲˈitʲ
черту	tʃʲˈertu
осколков	ʌskˈoɭkʌf
полсотни	pʌɭsˈotʲnʲɪ
побывать	pʌbyvˈɑtʲ
стадия	stˈɑdʲija
туго	tˈuɡʌ
восемнадцать	vʌsʲimnˈɑttsʌtʲ
теле	tʲˈeɭʲi
отладочная	ʌtɭˈɑdʌtʃʲnʌja
босс	bˈoss
смотрителя	smʌtrʲˈitʲiɭʲʌ
знанием	znˈɑnʲijim
численность	tʃʲˈisɭʲinnʌstʲ
сделок	ʑdʲˈeɭʌk
учится	ˈutʃʲitsʌ
верхних	vʲˈerxnʲix
миры	mʲirˈy
последствий	pʌsɭʲˈetstvʲij
пасть	pˈɑstʲ
лежала	ɭʲiʒˈɑɭa
археология	arxiʌɭˈoɡʲija
архивист	arxivʲˈist
сотый	sˈotyj
платить	pɭatʲˈitʲ
большого	bʌɭʲʃˈovʌ
великих	vʲiɭʲˈikʲix
знали	znˈɑɭʲɪ
селение	sʲiɭʲˈenʲijɪ
пошлины	pˈoʃɭʲiny
эфирные	ɛfʲˈirnyjɪ
жемчуг	ʒˈɛmtʃʲuk
брод	brˈot
биома	bʲiˈoma
жребием	ʒrʲˈebʲijim
мох	mˈox
ровным	rˈovnym
мясо	mʲˈɑsʌ
видят	vʲˈidʲʌt
луны	ɭˈuny
куют	kuˈjut
кольца	kˈoɭʲtsa
форму	fˈormu
погоду	pʌɡˈodu
укрытие	ukrˈytʲijɪ
соли	sˈoɭʲɪ
менять	mʲinʲˈɑtʲ
готов	ɡʌtˈof
тяжёлое	tʲaʒˈoɭʌjɪ
мы	mˈy
соперник	sʌpʲˈernʲik
профиль	prˈofʲilʲ
бл	bˌɛˈɛɭ
отходит	ʌtxˈodʲit
падение	padʲˈenʲijɪ
чане	tʃʲˈɑnʲi
пространственная	prʌstrˈɑnstvʲinnʌja
эссенции	ɛsʲsʲˈentsyɪ
переставал	pʲirʲistavˈɑɭ
разное	rˈɑznʌjɪ
стойкость	stˈojkʌstʲ
снята	sʲnʲatˈɑ
наследство	nasɭʲˈetstvʌ
покров	pʌkrˈof
счёту	ɕˈɵtu
охотнее	ʌxˈotʲnʲijɪ
верхний	vʲˈerxnʲij
сборка	zbˈorka
изгнанник	ɪzɡnˈɑnnʲik
врага	vraɡˈɑ
скрытые	skrˈytyjɪ
догмат	dʌɡmˈɑt
выполнен	vˈypʌɭnʲin
смотрители	smʌtrʲˈitʲiɭʲɪ
доску	dˈosku
отказаться	ʌtkazˈɑtsʌ
напр	nˈɑpr
голубиная	ɡʌɭubʲˈinʌja
перегруз	pʲirʲiɡrˈus
исследовать	ɪssɭʲˈedʌvʌtʲ
молчанием	mʌɭtʃʲˈɑnʲijim
гл	ɡˌɛˈɛɭ
чаши	tʃʲˈɑʃy
обрывок	ʌbrˈyvʌk
существо	suɕistvˈo
дог	dˈok
великий	vʲiɭʲˈikʲij
квартала	kvartˈɑɭa
выучка	vˈyutʃʲka
предвестники	prʲidvʲˈesnʲikʲɪ
гн	ɡˌɛˈɛn
плохие	pɭʌxˈijɪ
сектор	sʲˈektʌr
лице	ɭʲitsˈɛ
лекция	ɭʲˈektsyja
надето	nadʲˈetʌ
открытии	ʌtkrˈytʲiɪ
шагу	ʃˈɑɡu
выбранный	vˈybrʌnnyj
перескакивает	pʲirʲiskˈɑkʲivʌjit
единый	jɪdʲˈinyj
ударов	udˈɑrʌf
удержание	udʲirʒˈɑnʲijɪ
возвращают	vʌzvraɕˈɑjut
озвучка	ʌzvˈutʃʲka
высоту	vysʌtˈu
сзади	zzˈɑdʲɪ
настоящим	nʌstʌˈjaɕim
вол	vˈoɭ
случая	sɭˈutʃʲʌja
угроза	uɡrˈoza
самым	sˈɑmym
дойдя	dʌjdʲˈɑ
задумано	zadˈumʌnʌ
мелкие	mʲˈeɭkʲijɪ
пространственные	prʌstrˈɑnstvʲinnyjɪ
выключен	vˈykɭʲutʃʲin
колоколом	kˈoɭʌkʌɭʌm
назван	nˈɑzvʌn
экосистема	ɛkʌsʲisʲtʲˈema
дуга	duɡˈɑ
маски	mˈɑskʲɪ
закрытия	zakrˈytʲija
бестиарий	bʲisʲtʲiˈɑrʲij
крафт	krˈɑft
нипи	nʲˈipʲɪ
системы	sʲisʲtʲˈemy
петли	pʲˈetɭʲɪ
заводить	zʌvʌdʲˈitʲ
обработчика	ʌbrabˈottʃʲika
такта	tˈɑkta
молчать	mʌɭtʃʲˈɑtʲ
правил	prˈɑvʲiɭ
разбирать	rʌzbʲirˈɑtʲ
стрелы	strʲˈeɭy
искры	ˈɪskry
крики	krʲˈikʲɪ
пустоте	pustʌtʲˈe
волк	vˈoɭk
далёкий	daɭʲˈɵkʲij
хрустальный	xrustˈɑɭʲnyj
тон	tˈon
щита	ɕitˈɑ
настоящих	nʌstʌˈjaɕix
заменяет	zʌmʲinʲˈɑjit
общие	ˈopɕijɪ
сплошной	spɭʌʃnˈoj
синтеза	sʲˈintʲiza
получить	pʌɭutʃʲˈitʲ
рвёт	rvʲˈɵt
понимает	pʌnʲimˈɑjit
звучала	zvutʃʲˈɑɭa
пустыни	pustˈynʲɪ
топей	tˈopʲij
затвор	zatvˈor
пропадает	prʌpadˈɑjit
упало	upˈɑɭʌ
истории	ɪstˈorʲiɪ
полей	pʌɭʲˈej
тьмы	tʲmˈy
разной	rˈɑznʌj
чистая	tʃʲˈistʌja
аномальной	anʌmˈɑɭʲnʌj
зоне	zˈonʲi
дозорный	dʌzˈornyj
забыли	zabˈyɭʲɪ
сдать	zdˈɑtʲ
корабль	kʌrˈɑblʲ
копка	kˈopka
листва	ɭʲistvˈɑ
глубинное	ɡɭubʲˈinnʌjɪ
местах	mʲistˈɑx
назвал	nazvˈɑɭ
знаков	znˈɑkʌf
прочитанное	prʌtʃʲˈitʌnnʌjɪ
нарушение	nʌruʃˈɛnʲijɪ
никак	nʲikˈɑk
нескольких	nʲˈeskʌɭʲkʲix
таблица	tabɭʲˈitsa
повторяют	pʌftʌrʲˈɑjut
поворот	pʌvʌrˈot
выбросить	vˈybrʌsʲitʲ
заняты	zˈɑnʲʌty
споры	spˈory
уг	ˈuk
единственное	jɪdʲˈinstvʲinnʌjɪ
получал	pʌɭutʃʲˈɑɭ
охотничий	ʌxˈotʲnʲitʃʲij
писать	pʲisˈɑtʲ
чистый	tʃʲˈistyj
фонарь	fʌnˈɑrɪ
ремеслу	rʲimʲisɭˈu
вглубь	vɡɭˈupʲ
открыли	ʌtkrˈyɭʲɪ
организации	ʌrɡʌnʲizˈɑtsyɪ
бросить	brˈosʲitʲ
кухня	kˈuxnʲʌ
сума	sumˈɑ
выпить	vˈypʲitʲ
биологический	bʲiʌɭʌɡʲˈitʃʲiskʲij
помощь	pˈomʌɕ
кончено	kˈontʃʲinʌ
указан	ukˈɑzʌn
сбора	zbˈora
показывается	pʌkˈɑzyvʌjitsʌ
половиной	pʌɭʌvʲˈinʌj
закрытое	zakrˈytʌjɪ
собрано	sˈobrʌnʌ
качества	kˈɑtʃʲistva
следа	sɭʲˈeda
подземельях	pʌdʲʑimʲˈeɭjjax
плечо	pɭʲitʃʲˈo
тома	tˈoma
рейд	rʲˈejt
порта	pˈorta
утопленники	utˈopɭʲinnʲikʲɪ
грузом	ɡrˈuzʌm
снасть	snˈɑstʲ
треска	trʲˈeska
кальмар	kaɭʲmˈɑr
занимает	zʌnʲimˈɑjit
аурис	aˈurʲis
селена	sʲiɭʲˈena
вечный	vʲˈetʃʲnyj
тарх	tˈɑrx
благосклонности	bɭʌɡʌskɭˈonnʌsʲtʲɪ
репутации	rʲiputˈɑtsyɪ
соседями	sʌsʲˈedʲʌmʲɪ
деревья	dʲirʲˈevjja
тракту	trˈɑktu
съезд	sjjˈest
пешком	pʲiʃkˈom
границу	ɡranʲˈitsu
напев	napʲˈef
колонна	kʌɭˈonna
засада	zasˈɑda
тайны	tˈɑjny
воздухе	vˈozduxi
грозу	ɡrʌzˈu
рынке	rˈynkʲi
шагните	ʃaɡnʲˈitʲi
объявляется	ʌbjjavɭʲˈɑjitsʌ
отпускает	ʌtpuskˈɑjit
чарами	tʃʲˈɑrʌmʲɪ
комнатах	kˈomnʌtʌx
насовсем	nʌsʌfsʲˈem
одноразовый	ʌdnʌrˈɑzʌvyj
било	bʲˈiɭʌ
сыплется	sˈypɭʲitsʌ
точило	tʌtʃʲˈiɭʌ
мешки	mʲiʃkʲˈɪ
призыв	prʲizˈyf
дереву	dʲˈerʲivu
слом	sɭˈom
брали	brˈɑɭʲɪ
слушатель	sɭˈuʃʌtʲilʲ
подвалы	pʌdvˈɑɭy
аракокры	arˈɑkʌkry
дракониды	drakˈonʲidy
стоя	stˈoja
кругами	kruɡˈɑmʲɪ
берегах	bʲirʲiɡˈɑx
кумирня	kumʲˈirnʲʌ
обеих	ʌbʲˈeix
прилавке	prʲiɭˈɑfkʲi
уговор	uɡʌvˈor
костью	kˈostʲjju
деревом	dʲˈerʲivʌm
узнали	uznˈɑɭʲɪ
орки	ˈorkʲɪ
утопшие	utˈopʃyjɪ
синод	sʲinˈot
утопший	utˈopʃyj
служка	sɭˈuʃka
отражает	ʌtraʒˈɑjit
сухо	sˈuxʌ
провалы	prʌvˈɑɭy
пещерные	pʲiɕˈernyjɪ
глубинных	ɡɭubʲˈinnyx
вернулось	vʲirnˈuɭʌsʲ
поставлен	pʌstˈɑvɭʲin
дезертир	dʲiʑirtʲˈir
продал	prˈodʌɭ
встретить	fstrʲˈetʲitʲ
приказ	prʲikˈɑs
гвоздь	ɡvˈosʲtʲ
карантин	kʌrantʲˈin
рудника	rudnʲikˈɑ
вложить	vɭʌʒˈytʲ
сложился	sɭʌʒˈyɭsʲʌ
рану	rˈɑnu
законов	zakˈonʌf
рычагов	rytʃʲaɡˈof
затягиваются	zatʲˈɑɡʲivʌjutsʌ
самому	samˈomu
номеру	nˈomʲiru
мини-босс	mʲˈinʲɪbˈoss
мёртвый	mʲˈɵrtvyj
перегрузка	pʲirʲiɡrˈuska
голову	ɡˈoɭʌvu
сделана	ʑdʲˈeɭʌna
запретное	zaprʲˈetnʌjɪ
технология	tʲixnʌɭˈoɡʲija
владык	vɭadˈyk
житницы	ʒˈytʲnʲitsy
обсидиан	ʌpsʲidʲiˈɑn
брал	brˈɑɭ
дальнее	dˈɑɭʲnʲijɪ
перезарядку	pʲirʲizarʲˈɑtku
причину	prʲitʃʲˈinu
заведено	zʌvʲidʲinˈo
становище	stanˈovʲiɕi
телеги	tʲiɭʲˈeɡʲɪ
вложенная	vɭˈoʒynnʌja
чего-то	tʃʲivˈotʌ
травяная	trʌvʲanˈɑja
угли	ˈuɡɭʲɪ
закупки	zakˈupkʲɪ
нейтралитет	nʲijtrʌɭʲitʲˈet
узнанное	ˈuznʌnnʌjɪ
полосу	pʌɭˈosu
волокно	vʌɭʌknˈo
пластина	pɭasʲtʲˈina
двухсот	dvuxsˈot
возможностей	vʌzmˈoʒnʌsʲtʲij
предтечи	prʲitʲtʲˈetʃʲɪ
форме	fˈormʲi
пепельного	pʲˈepʲiɭʲnʌvʌ
течёт	tʲitʃʲˈɵt
форм	fˈorm
лишний	ɭʲˈiʃnʲij
темно	tʲˈemnʌ
желание	ʒyɭˈɑnʲijɪ
служит	sɭˈuʒyt
начатые	nˈɑtʃʲʌtyjɪ
штрек	ʃtrʲˈek
переходный	pʲirʲixˈodnyj
иного	ɪnˈovʌ
решить	rʲiʃˈytʲ
сдаче	zdˈɑtʃʲi
морфозверей	mʌrfʌzvʲˈerʲij
комнате	kˈomnʌtʲi
сказал	skazˈɑɭ
углу	uɡɭˈu
защите	zaɕˈitʲi
морозные	mʌrˈoznyjɪ
голодных	ɡʌɭˈodnyx
углы	uɡɭˈy
насыпь	nˈɑsypʲ
гравий	ɡrˈɑvʲij
тёсаный	tʲˈɵsʌnyj
реку	rʲˈeku
перекрёстке	pʲirʲikrʲˈɵstkʲi
славу	sɭˈɑvu
палубы	pˈɑɭuby
всеми	fsʲˈemʲɪ
век	vʲˈek
долгов	dʌɭɡˈof
кормить	kʌrmʲˈitʲ
полной	pˈoɭnʌj
роща	rˈoɕʌ
оставил	ʌstˈɑvʲiɭ
совета	sʌvʲˈeta
записан	zapʲˈisʌn
дроблёная	drʌbɭʲˈɵnʌja
закалённый	zʌkaɭʲˈɵnnyj
правду	prˈɑvdu
пошлину	pˈoʃɭʲinu
дефицит	dʲifʲitsˈyt
штраф	ʃtrˈɑf
продано	prˈodʌnʌ
палате	paɭˈɑtʲi
прилавком	prʲiɭˈɑfkʌm
хеш	xˈeʃ
приношение	prʲinʌʃˈɛnʲijɪ
малый	mˈɑɭyj
сумке	sˈumkʲi
дротик	drˈotʲik
принял	prʲˈinʲʌɭ
торжище	tˈorʒyɕi
приходить	prʲixʌdʲˈitʲ
готовая	ɡʌtˈovʌja
рассвете	rassvʲˈetʲi
кладка	kɭˈɑtka
приход	prʲixˈot
запомнили	zapˈomnʲiɭʲɪ
кивает	kʲivˈɑjit
отверженный	ʌtvʲˈerʒynnyj
клятву	kɭʲˈɑtvu
стоило	stˈoiɭʌ
сумерки	sˈumʲirkʲɪ
полдень	pˈoɭdʲinʲ
полночь	pˈoɭnʌtʃʲ
холодная	xʌɭˈodnʌja
э	ˈɛ
портальный	pʌrtˈɑɭʲnyj
превращается	prʲivraɕˈɑjitsʌ
другими	druɡʲˈimʲɪ
закрытость	zakrˈytʌstʲ
звать	zvˈɑtʲ
проситься	prʌsʲˈitsʌ
начато	nˈɑtʃʲʌtʌ
чужом	tʃʲuʒˈom
устав	ustˈɑf
павших	pˈɑfʃyx
вернитесь	vʲirnʲˈitʲisʲ
имп	ˈɪmp
кожу	kˈoʒu
передать	pʲirʲidˈɑtʲ
учиться	utʃʲˈitsʌ
щуп	ɕˈup
сна	snˈɑ
пам	pˈɑm
голодный	ɡʌɭˈodnyj
нюх	nʲˈux
сыт	sˈyt
изучены	ɪzˈutʃʲiny
ближних	bɭʲˈiʒnʲix
лорд	ɭˈort
убивать	ubʲivˈɑtʲ
снаб	snˈɑp
поступил	pʌstupʲˈiɭ
нарушения	nʌruʃˈɛnʲija
заводи	zavˈodʲɪ
предатели	prʲidˈɑtʲiɭʲɪ
своёядро	svʌˈɵjadrʌ
перезаряд	pʲirʲizarʲˈɑt
свояст	svʌˈjast
защиты	zaɕˈity
страницу	stranʲˈitsu
ползунок	pʌɭzunˈok
загрузить	zʌɡruʑˈitʲ
пропустить	prʌpusʲtʲˈitʲ
собраны	sˈobrʌny
пунктами	pˈunktʌmʲɪ
интерфейс	ɪntɛrfˈɛjs
перескок	pʲirʲiskˈok
главных	ɡɭˈɑvnyx
панорама	pʌnʌrˈɑma
рассказчика	rasskˈɑɕika
высотой	vysʌtˈoj
повторяются	pʌftʌrʲˈɑjutsʌ
молотом	mˈoɭʌtʌm
последних	pʌsɭʲˈednʲix
персонаж	pʲirsʌnˈɑʃ
квесты	kvʲˈesty
отойти	ʌtʌjtʲˈɪ
артефактные	artʲifˈɑktnyjɪ
порядка	pʌrʲˈɑtka
легенда	ɭʲiɡʲˈenda
выключается	vykɭʲutʃʲˈɑjitsʌ
обычной	ʌbˈytʃʲnʌj
код	kˈot
замечает	zʌmʲitʃʲˈɑjit
изменилось	ɪzmʲinʲˈiɭʌsʲ
мгновенно	mɡnʌvʲˈennʌ
длина	dɭʲinˈɑ
продолжение	prʌdʌɭʒˈɛnʲijɪ
трещина	trʲˈeɕina
кричит	krʲitʃʲˈit
кружка	krˈuʃka
столе	stʌɭʲˈe
бьётся	bjˈɵtsʌ
птиц	ptʲˈits
добычей	dʌbˈytʃʲij
голем	ɡˈoɭʲim
долгий	dˈoɭɡʲij
разбойник	razbˈojnʲik
светлый	svʲˈetɭyj
петух	pʲitˈux
соседних	sʌsʲˈednʲix
каталоге	kʌtaɭˈoɡʲi
подошёл	pʌdʌʃˈoɭ
звучать	zvutʃʲˈɑtʲ
пила	pʲiɭˈɑ
ключом	kɭʲutʃʲˈom
закрывают	zʌkryvˈɑjut
покоя	pʌkˈoja
считались	ɕitˈɑɭʲisʲ
занимаются	zʌnʲimˈɑjutsʌ
заката	zakˈɑta
столько-то	stˈoɭʲkʌtˈo
сумку	sˈumku
десятый	dʲisʲˈɑtyj
сюжетное	sʲuʒˈɛtnʌjɪ
струна	strunˈɑ
медь	mʲˈetʲ
струнные	strˈunnyjɪ
сыграть	syɡrˈɑtʲ
каменные	kˈɑmʲinnyjɪ
наковальне	nʌkʌvˈɑɭʲnʲi
двойной	dvʌjnˈoj
поясе	pˈojasʲi
клинки	kɭʲinkʲˈɪ
плоский	pɭˈoskʲij
ближнего	bɭʲˈiʒnʲivʌ
кожи	kˈoʒy
канализация	kʌnʌɭʲizˈɑtsyja
стоки	stˈokʲɪ
оружейные	ʌruʒˈɛjnyjɪ
клады	kɭˈɑdy
появление	pʌjavɭʲˈenʲijɪ
слизь	sɭʲˈisʲ
атака	atˈɑka
доступна	dʌstˈupna
отмечает	ʌtmʲitʃʲˈɑjit
взяты	vʑˈɑty
карт	kˈɑrt
недоступна	nʲidʌstˈupna
крупное	krˈupnʌjɪ
взятые	vʑˈɑtyjɪ
текущим	tʲikˈuɕim
другую	druɡˈuju
лежал	ɭʲiʒˈɑɭ
повторяется	pʌftʌrʲˈɑjitsʌ
шестую	ʃystˈuju
сдвинулся	zdvʲˈinuɭsʲʌ
ответа	ʌtvʲˈeta
делал	dʲˈeɭʌɭ
молчала	mʌɭtʃʲˈɑɭa
собственного	sˈopstvʲinnʌvʌ
добраться	dʌbrˈɑtsʌ
нуля	nuɭʲˈɑ
тап	tˈɑp
сведения	svʲidʲˈenʲija
выполнить	vˈypʌɭnʲitʲ
отдавать	ʌddavˈɑtʲ
идёшь	ɪdʲˈɵʃ
ближайший	bɭʲiʒˈɑjʃyj
правилу	prˈɑvʲiɭu
пустом	pustˈom
считалось	ɕitˈɑɭʌsʲ
прилип	prʲiɭʲˈip
находится	naxˈodʲitsʌ
неспешное	nʲispʲˈeʃnʌjɪ
проведите	prʌvʲidʲˈitʲi
следу	sɭʲˈedu
обычным	ʌbˈytʃʲnym
писарь	pʲˈisʌrɪ
замечают	zʌmʲitʃʲˈɑjut
меча	mʲitʃʲˈɑ
жили	ʒˈyɭʲɪ
прощает	prʌɕˈɑjit
вышла	vˈyʃɭa
заголовку	zʌɡʌɭˈofku
заголовка	zʌɡʌɭˈofka
пределах	prʲidʲˈeɭʌx
торговцем	tʌrɡˈoftsym
привал	prʲivˈɑɭ
лагере	ɭˈɑɡʲirʲi
рыбачить	rybˈɑtʃʲitʲ
осуждённого	ʌsuʒdʲˈɵnnʌvʌ
убить	ubʲˈitʲ
небу	nʲˈebu
травник	trˈɑvnʲik
учился	utʃʲˈiɭsʲʌ
одержим	ʌdʲˈerʒym
взмаха	vzmˈɑxa
пустых	pustˈyx
выходило	vyxˈodʲiɭʌ
услышите	usɭˈyʃytʲi
ученика	utʃʲinʲikˈɑ
божественный	bʌʒˈɛstvʲinnyj
грубое	ɡrˈubʌjɪ
серебряных	sʲirʲˈebrʲʌnyx
рек	rʲˈek
республика	rʲispˈubɭʲika
островов	ʌstrʌvˈof
столице	stʌɭʲˈitsy
территория	tʲirrʲitˈorʲija
спокойно	spʌkˈojnʌ
зверем	zvʲˈerʲim
уровней	ˈurʌvnʲij
проходите	prʌxˈodʲitʲi
обычных	ʌbˈytʃʲnyx
рано	rˈɑnʌ
реликвию	rʲiɭʲˈikvʲiju
беженцы	bʲˈeʒyntsy
охраной	ʌxrˈɑnʌj
привезти	prʲivʲisʲtʲˈɪ
неф	nʲˈef
волной	vʌɭnˈoj
откупиться	ʌtkupʲˈitsʌ
вместимость	vmʲisʲtʲˈimʌstʲ
